A002,A-002,L
A1,Skyraider,M
A10,A-10 Thunderbolt 2,M
A109,A-109,L
A119,A-119 Koala,L
A122,Uirapuru,L
A124,An-124 Ruslan,H
A129,A-129 Mangusta,L
A139,AB-139,L
A140,An-140,M
A148,An-148,M
A16,A-16 Sport Falcon,L
A19,A-19,L
A20,A-20 Havoc,M
A205,MAI-205,L
A21,A-21 Solo,L
A210,A-210,L
A211,A-211,L
A22,A-22 Piranha,L
A223,MAI-223 Kityonok,L
A225,An-225 Mriya,H
A23,A-23 Dragon,L
A25,A-25 Breeze,L
A27,A-27,L
A270,Ae-270 Ibis,L
A29,A-29,L
A2RT,Ansat 2RT,L
A3,A-3 Skywarrior,M
A306,A-300B4-600,H
A30B,A-300B2,H
A31,A-31 Spectrum,L
A310,A-310,H
A318,A-318,M
A319,A-319,M
A320,A-320,M
A321,A-321,M
A33,A-33,L
A332,A-330-200,H
A333,A-330-300,H
A342,A-340-200,H
A343,A-340-300,H
A345,A-340-500,H
A346,A-340-600,H
A35,A-35 Scanner,L
A37,A-37 Dragonfly,L
A388,A-380-800,H
A3ST,A-300ST Beluga,H
A4,A-4 Skyhawk,M
A400,A-400M,H
A50,A-50,H
A500,A-500 CarbonAero,L
A504,504 Replica,L
A6,A-6 Intruder,M
A660,S-2R-T660 Turbo Thrush,L
A7,A-7 Corsair 2,M
A700,A-700 AdamJet,L
A743,An-74-300,M
A748,HS-748 Andover,M
A890,MAI-890,L
A9,Ag Commander (A-9),L
A900,MAI-900 Acrobat,L
A910,MAI-910,L
AA1,Trainer,L
AA37,A-37,L
AA5,AA-5 Tiger,L
AAT3,AT-3,L
AB11,AB-115,L
AB15,AB-150,L
AB18,AB-180,L
AB95,AB-95,L
AC11,Commander 112,L
AC4,AC-4,L
AC50,500 Shrike Commander,L
AC56,Commander 560,L
AC5A,AC-500 Aircar,L
AC5M,AC-5M,L
AC68,Commander 680F,L
AC6L,Commander 685,L
AC72,720 Alti Cruiser,L
AC80,Turbo Commander (680),L
AC90,Turbo Commander 690,L
AC95,Jetprop Commander 980,L
ACAM,Air Cam,L
ACAR,Autocar,L
ACED,P-70 Acey Deucy,L
ACJR,Air Car Junior,L
ACPL,Acapella,L
ACR2,Acro-Sport 2,L
ACRD,Accord,L
ACRO,Acro-Sport 1,L
ACSR,Aircruiser,L
AD20,AD-200,L
ADEL,Adel,L
ADVE,J-5 Adventurer,L
ADVN,Adventurer,L
AE45,Aero 45,L
AEA1,A-1,L
AEST,PA-60 Aerostar,L
AG02,AG-02 Poussin,L
AGSH,Sea Hawker,L
AI10,Ai-10 Ikar,L
AIGT,Aiglet Trainer,L
AIRD,A-109 Airedale,L
AIRL,Airelle,L
AJ27,ARJ-21-700,M
AJET,Alpha Jet,M
AK1,AK-1,L
AKRO,Akro,L
ALBU,Alaskan Bushmaster,L
ALC1,AC-11,L
ALGR,Allegro,L
ALH,ALH Dhruv,L
ALIG,Lightning,L
ALIZ,1050 Alizé,M
ALO2,SA-318 Alouette 2,L
ALO3,Alouette 3,L
ALPI,Alpine,L
ALTO,Alto,L
AM3,AM-3 Bosbok,L
AMX,AMX Ghibli,M
AN12,An-12,M
AN2,An-2,L
AN22,An-22 Antheus,H
AN24,An-24,M
AN26,An-26,M
AN28,An-28,L
AN3,An-3,L
AN30,An-30,M
AN32,An-32,M
AN38,An-38,M
AN70,An-70,M
AN72,An-72,M
AN8,An-8,M
ANGL,44 Angel,L
ANSN,652 Anson,L
ANST,Ansat,L
AP20,A-20,L
AP22,A-22,L
AP24,A-24 Viking,L
AP26,A-26 Twin Vista,L
AP28,A-28 Victor,L
AP36,A-36 Vulcan,L
APM2,APM-20 Lionceau,L
APM3,APM-30 Lion,L
APUP,Aeropup,L
AR11,11 Chief,L
AR15,15 Sedan,L
AR79,Ar-79,L
ARES,151 Ares,L
ARKS,A-200 Aeriks 200,L
ARON,F-220 Airone,L
ARV1,ARV-1 Super 2,L
ARVA,Arava,L
ARWF,F Sport,L
AS02,Bravo,L
AS14,ASK-14,L
AS16,ASK-16,L
AS20,ASW-20TOP,L
AS21,ASK-21Mi,L
AS22,ASW-22BE,L
AS24,ASW-24,L
AS25,ASH-25,L
AS26,ASH-26E,L
AS28,ASW-28E,L
AS2T,AS-202-32TP Turbine Bravo,L
AS32,Super Puma,M
AS3B,Super Puma Mk2,M
AS50,AS-350 Ecureuil,L
AS55,Ecureuil 2,L
AS65,Dolphin,L
AS80,AS-80 Holiday,L
ASO4,Asso 4 Whisky,L
ASTR,Gulfstream G100,M
AT3,AT-3 Tzu-Chung,M
AT3P,AT-300,L
AT3T,AT-302,L
AT43,ATR-42-300,M
AT44,ATR-42-400 Surveyor,M
AT45,ATR-42-500 Surveyor,M
AT5P,AT-501,L
AT5T,AT-502,L
AT6T,AT-602,L
AT72,ATR-72,M
AT8T,AT-802 Fire Boss,L
ATAC,Acro 1,L
ATG1,ATG-1 Javelin,L
ATIS,Atlantis,L
ATL,ATL,L
ATLA,1150 Atlantic,M
ATP,ATP,M
ATTL,ATTL-1,L
AU11,E-3 Auster AOP11,L
AUJ2,J-2 Arrow,L
AUJ4,J-4 Archer,L
AUS3,Auster 3,L
AUS4,Auster 4,L
AUS5,Auster 5 Alpha,L
AUS6,Auster AOP6,L
AUS7,Auster T7,L
AUS9,Auster AOP9,L
AV68,AVO-68 Samburo,L
AVAM,Catalina,L
AVID,Avid Commuter,L
AVIN,Avian,L
AVK4,400,L
AVLN,Avalon 680,L
AVTR,Aventura 2,L
B06,JetRanger,L
B06T,TwinRanger,L
B1,B-1 Lancer,H
B103,Be-103 Bekas,L
B105,BO-105,L
B13,B-13,L
B14A,14 Cruisair,L
B14B,14 Bellanca 260,L
B14C,14 Bellanca 260,L
B17,B-17 Flying Fortress,M
B18T,18 (turbine),L
B190,1900,M
B2,B-2 Spirit,H
B209,BO-209 Monsun,L
B212,212,L
B214,214,M
B222,222,L
B23,B-23 Dragon,M
B230,230,L
B24,B-24 Liberator,M
B25,B-25 Mitchell,M
B26,A-26 Invader,M
B26M,B-26 Marauder,M
B29,B-29 Superfortress,M
B305,305,L
B350,King Air 350,L
B360,Bear 360,L
B36T,36 Bonanza (turbine),L
B407,407,L
B412,412,L
B427,427,L
B429,429 GlobalRanger,L
B430,430,L
B461,BAe-146-100 Statesman,M
B462,BAe-146-200,M
B463,BAe-146-300,M
B47G,47G,L
B47J,47J Ranger,L
B47T,Bell 47,L
B52,B-52 Stratofortress,H
B60,Mercurey,L
B609,BA-609,M
B60T,60 Royal Turbine Duke,L
B701,707-100,M
B703,707-300,H
B712,717-200,M
B720,720,M
B721,727-100,M
B722,727-200,M
B731,737-100,M
B732,737-200,M
B733,737-300,M
B734,737-400,M
B735,737-500,M
B736,737-600,M
B737,737-700,M
B738,737-800,M
B739,737-900,M
B741,747-100,H
B742,747-200,H
B743,747-300,H
B744,747-400,H
B748,747-800,H
B74D,"747-400 (domestic, no winglets)",H
B74R,747SR,H
B74S,747SP,H
B752,757-200,M
B753,757-300,M
B762,767-200,H
B763,767-300,H
B764,767-400,H
B772,777-200,H
B773,777-300,H
B77L,777-200LR,H
B77W,777-300ER,H
B783,787-3 Dreamliner,H
B788,787-8 Dreamliner,H
B789,787-9 Dreamliner,H
BA11,111 One-Eleven,M
BABY,Baby Belle,L
BALL,Balloon,-
BAR6,BarrSix,L
BARC,Barracuda,L
BASS,B-206,L
BBAT,BA-100 Aerobat,L
BBIR,Beta Bird,L
BCA3,CA-3 Sport Airsedan,L
BCAT,Bearcat,L
BD10,BD-10,L
BD12,BD-12,L
BD17,BD-17 Nuggett,L
BD4,BD-4,L
BD5,Micro (BD-5B/D/G),L
BD5J,BD-5J Micro,L
BD5T,BD-5TP Micro,L
BDOG,Bulldog,L
BE10,King Air (100),L
BE12,Be-12 Tchaika,M
BE17,17 Staggerwing,L
BE18,18 Expeditor,L
BE19,19 Musketeer Sport,L
BE20,200 Super King Air,L
BE23,23 Musketeer,L
BE24,24 Sierra,L
BE30,300 Super King Air,L
BE32,Be-30,M
BE33,33 Bonanza,L
BE35,35 Bonanza,L
BE36,36 Bonanza (piston),L
BE40,400 Beechjet,M
BE50,50 Twin Bonanza,L
BE55,55 Baron,L
BE56,56 Turbo Baron,L
BE58,58 Baron,L
BE60,60 Duke,L
BE65,65 Queen Air,L
BE70,70 Queen Air,L
BE76,76 Duchess,L
BE77,77 Skipper,L
BE80,80 Queen Air,L
BE88,88 Queen Air,L
BE95,95 Travel Air,L
BE99,99 Airliner,L
BE9L,"King Air (90, A90 to E90)",L
BE9T,King Air (F90),L
BEAR,RB-4 Bearhawk,L
BELF,SC-5 Belfast,M
BER2,Be-200 Altair,M
BER4,A-40 Albatross,M
BETA,Beta,L
BEVR,Beaver,L
BF19,Bf-109G-2,L
BFIT,F-2B Fighter Replica,L
BILO,Bilouis,L
BIPL,Biplane,L
BIRD,Bird,L
BK17,BK-117,L
BKUT,Berkut,L
BL11,11 Replica,L
BL17,17 Viking,L
BL19,19 Skyrocket,L
BL8,8 Decathlon,L
BLBU,Altania,L
BLCF,747-400LCF Dreamlifter,H
BLEN,149 Blenheim,L
BLKS,Baby Lakes,L
BM6,BM-6 Lark,L
BN2P,BN-2 Islander,L
BN2T,BN-2T Turbine Islander,L
BOLT,Skybolt,L
BOOM,202 Boomerang,L
BPAT,Bearhawk Patrol,L
BR14,14 Replica,L
BR54,BRC-540,L
BRAV,P-2004 Bravo,L
BRB2,B-2,L
BREZ,Breezer,L
BROU,MH-1521 Broussard,L
BRUM,Brumby,L
BS60,60 Marquis,L
BSCA,747SCA Shuttle Carrier,H
BSTP,214ST SuperTransport,M
BSTR,Bright Star,L
BTUB,Dormoy Bathtub,L
BU20,Bushmaster 2000,L
BU31,Jungmann,L
BU33,Jungmeister,L
BU81,Bestmann,L
BUC,Buccaneer,M
BUCA,Buccaneer,L
BULT,BJ-520 Bullet,L
BX2,BX-2 Cherry,L
C02T,402 (turbine),L
C04T,404 (turbine),L
C06T,206 (turbine),L
C07T,207 (turbine),L
C08T,208 Dual-Pac Caravan,L
C1,C-1,M
C101,C-101 Aviojet,L
C10T,P210 (turbine),L
C119,C-119 Flying Boxcar,M
C120,120,L
C123,C-123 Provider,M
C125,C-125 Raider,M
C130,C-130 Hercules,M
C133,C-133 Cargomaster,M
C135,C-135 Stratolifter,H
C140,140,L
C141,C-141 Starlifter,H
C14T,414 (turbine),L
C15,YC-15,M
C150,150,L
C152,A152 Aerobat,L
C160,C-160,M
C162,162 SkyCatcher,L
C17,C-17 Globemaster 3,H
C170,170,L
C172,172 Skyhawk,L
C175,175 Skylark,L
C177,177 Cardinal,L
C180,180 Skywagon,L
C182,182 Skylane,L
C185,185 Skywagon,L
C188,188 AgWagon,L
C190,190,L
C195,195,L
C2,C-2 Greyhound,M
C205,205,L
C206,206 Stationair,L
